# ACT.UltraScouter 向け TTS Dictionary
# Coryright(c) 2017, anoyetta
#
# TTSの読上げ文字列をこのファイルの定義に従って置換します
# 形式.
# 置換前の文字列[TAB]置換後の文字列
# 
# ex.
# 魔法剣ホーリー	まほうけんホーリー
# 
# # でコメント行です
# また置換後の文字列を記載しないでおくと置換前の文字列のスキルの読上げが無効になります
#

# Mobs
木人						もくじん
玉藻御前					たまもごぜん
ソルト・アンド・ライト		ソルトアンドライト
船幽霊						ふなゆうれい
宵闇のヤミニ				よいやみのヤミニ
剣豪ガウキ					けんごうガウキ
姑獲鳥						こかくちょう
雷撃のギョライ				らいげきのギョライ
極楽鳥						ごくらくちょう
機兵のスリップキンクス		きへいのスリップキンクス
舞手のサヌバリ				まいてのサヌバリ
グナース・コメットドローン	グナースコメットドローン
クロック・ミテーヌ			クロックミテーヌ
サウザンドキャスト・セダ	サウザンドキャストゼダ
醜男のヴォガージャ			ぶおとこのボガージャ
魔導ヘルズクロー			まどうヘルズクロー
死灰のアルビン				しかいのアルビン
不滅のフェランド闘軍曹		ふめつのフェランドとうぐんそう
